station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Abbey Wood,2318430,3470332,1329902,7118664,0,London,5131,ABW
Aber,77490,3548,22938,103976,0,Wales,3813,ABE
Abercynon,106686,3854,24340,134880,15581,Wales,3801,ACY
Aberdare,161382,10902,54430,226714,0,Wales,3982,ABA
Aberdeen,487274,1383410,90730,1961414,179272,Scotland,8976,ABD
Aberdour,28576,47162,3214,78952,0,Scotland,9090,AUR
Aberdovey,24642,9566,0,34208,0,Wales,4435,AVY
Abererch,1564,476,0,2040,0,Wales,4440,ABH
Abergavenny,169398,129348,60778,359524,0,Wales,3602,AGV
Abergele and Pensarn,41230,36848,3904,81982,0,Wales,2448,AGL
Aberystwyth,103522,136146,1898,241566,0,Wales,4303,AYW
Accrington,118656,284020,56940,459616,0,North West,2552,ACR
Achanalt,232,50,0,282,0,Scotland,8600,AAT
Achnasheen,1992,1246,64,3302,0,Scotland,8601,ACN
Achnashellach,430,322,0,752,0,Scotland,8602,ACH
Acklington,346,88,0,434,0,North East,7662,ACK
Acle,12910,24112,3650,40672,0,East of England,7286,ACL
Acocks Green,99164,127648,78094,304906,0,West Midlands,4529,ACG
Acton Bridge (Cheshire),17686,12724,2630,33040,0,North West,2287,ACB
Acton Central,514242,748324,236470,1499036,0,London,1404,ACC
Acton Main Line,340190,602452,157062,1099704,0,London,3000,AML
Adderley Park,59056,37140,23850,120046,0,West Midlands,1036,ADD
Addiewell,6648,6894,1024,14566,0,Scotland,9310,ADW
Addlestone,108918,111918,50848,271684,0,South East,5550,ASN
Adisham,6356,9290,7824,23470,0,South East,5160,ADM
Adlington (Cheshire),7118,10274,1390,18782,0,North West,2939,ADC
Adlington (Lancashire),30058,62794,12188,105040,0,North West,2641,ADL
Adwick,51206,51822,18176,121204,0,Yorkshire and The Humber,8353,AWK
Aigburth,135174,286910,144934,567018,0,North West,2255,AIG
Ainsdale,171718,580394,168514,920626,0,North West,2350,ANS
Aintree,189054,440238,212370,841662,0,North West,2125,AIN
Airbles,27468,40642,11390,79500,0,Scotland,9695,AIR
Airdrie,196716,341584,94498,632798,0,Scotland,9759,ADR
Albany Park,286128,253588,82774,622490,0,London,5132,AYP
Albrighton,27064,27812,14680,69556,0,West Midlands,4614,ALB
Alderley Edge,105456,77540,43696,226692,0,North West,2760,ALD
Aldermaston,12038,30466,8098,50602,0,South East,3145,AMT
Aldershot,346468,589196,157812,1093476,79583,South East,5623,AHT
Aldrington,44632,63252,19926,127810,0,South East,5280,AGT
Alexandra Palace,470546,709888,159616,1340050,43873,London,6025,AAP
Alexandra Parade,83590,165438,14686,263714,0,Scotland,9905,AXP
Alexandria,43810,78782,25748,148340,0,Scotland,9861,ALX
Alfreton,94974,184888,9976,289838,0,East Midlands,1805,ALF
Allens West,23140,34918,15108,73166,0,North East,7520,ALW
Alloa,90676,238920,25684,355280,0,Scotland,9883,ALO
Alness,13324,2718,762,16804,0,Scotland,8605,ASS
Alnmouth,15460,302826,12778,331064,263,North East,7787,ALM
Alresford (Essex),16418,26058,20974,63450,0,East of England,6847,ALR
Alsager,61616,26884,6122,94622,0,North West,1223,ASG
Althorne (Essex),8196,7992,5720,21908,0,East of England,6869,ALN
Althorpe,618,750,40,1408,0,Yorkshire and The Humber,6532,ALP
Altnabreac,262,18,0,280,0,Scotland,8606,ABC
Alton,152124,234996,108912,496032,0,South East,5544,AON
Altrincham,86220,104640,56654,247514,8,North West,2806,ALT
Alvechurch,54802,36662,32090,123554,0,West Midlands,1198,ALV
Ambergate,13910,17698,1554,33162,0,East Midlands,1678,AMB
Amberley,16632,33800,10148,60580,0,South East,5250,AMY
Amersham,632678,858442,72342,1563462,0,South East,506,AMR
Ammanford,7868,3122,20,11010,0,Wales,4236,AMF
Ancaster,4880,732,1936,7548,0,East Midlands,6358,ANC
Anderston,81606,95904,50996,228506,0,Scotland,9965,AND
Andover,171606,595142,154978,921726,16134,South East,5510,ADV
Anerley,319968,479538,101376,900882,0,London,5397,ANZ
Angmering,160312,385624,187906,733842,0,South East,5267,ANG
Annan,7296,91086,1016,99398,0,Scotland,9451,ANN
Anniesland,202336,451466,81646,735448,0,Scotland,9972,ANL
Ansdell and Fairhaven,8194,28756,4032,40982,0,North West,2662,AFV
Apperley Bridge,90146,217022,55820,362988,0,Yorkshire and The Humber,8562,APY
Appleby,7166,43222,2286,52674,0,North West,2052,APP
Appledore (Kent),6582,14642,5254,26478,0,South East,5003,APD
Appleford,3206,3032,996,7234,0,South East,3109,APF
Appley Bridge,38042,69272,23402,130716,0,North West,2396,APB
Apsley,153556,191356,60860,405772,0,East of England,1430,APS
Arbroath,107256,172076,13942,293274,14504,Scotland,9079,ARB
Ardgay,3604,778,30,4412,0,Scotland,8613,ARD
Ardlui,2492,790,0,3282,0,Scotland,9962,AUI
