station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Ardrossan Harbour,50726,41358,338,92422,0,Scotland,9453,ADS
Ardrossan South Beach,41152,89844,12204,143200,284,Scotland,9569,ASB
Ardrossan Town,4008,9378,696,14082,0,Scotland,9455,ADN
Ardwick,212,112,0,324,0,North West,2960,ADK
Argyle Street,186068,543014,80832,809914,0,Scotland,9961,AGS
Arisaig,2298,1898,0,4196,0,Scotland,8821,ARG
Arlesey,192284,271504,88362,552150,0,East of England,6171,ARL
Armadale (West Lothian),68552,88818,15548,172918,0,Scotland,990,ARM
Armathwaite,976,6974,480,8430,0,North West,2054,AWT
Arnside,11754,77360,2216,91330,0,North West,1963,ARN
Arram,82,304,212,598,0,Yorkshire and The Humber,8045,ARR
Arrochar and Tarbet,12514,4054,390,16958,0,Scotland,9963,ART
Arundel,43840,152696,61858,258394,0,South East,5251,ARU
Ascot (Berks),312308,445200,63902,821410,224915,South East,5666,ACT
Ascott-Under-Wychwood,1154,136,338,1628,0,South East,3003,AUW
Ash,58968,108704,36378,204050,32638,South East,5641,ASH
Ash Vale,102848,141250,58960,303058,68635,South East,5547,AHV
Ashburys,32864,21416,11708,65988,0,North West,2941,ABY
Ashchurch for Tewkesbury,27158,48616,6056,81830,0,South West,4700,ASC
Ashfield,14786,35024,2250,52060,0,Scotland,9953,ASF
Ashford (Surrey),265398,270338,189232,724968,0,South East,5667,AFS
Ashford International,643488,1711392,892088,3246968,836593,South East,5004,AFK
Ashley,3050,2948,1904,7902,0,North West,2850,ASY
Ashtead,291202,375864,180318,847384,0,South East,5347,AHD
Ashton-Under-Lyne,65130,51320,25728,142178,0,North West,2790,AHN
Ashurst (Kent),9344,8178,8966,26488,0,South East,5398,AHS
Ashurst New Forest,18566,57742,15180,91488,0,South East,5906,ANF
Ashwell and Morden,44394,56834,39468,140696,0,East of England,6083,AWM
Askam,18472,32458,6676,57606,0,North West,1953,ASK
Aslockton,10260,9354,3858,23472,0,East Midlands,6233,ALK
Aspatria,8342,16590,2946,27878,0,North West,2095,ASP
Aspley Guise,1488,1946,1216,4650,0,East of England,1380,APG
Aston,230546,220590,104056,555192,19387,West Midlands,1004,AST
Atherstone,36884,56386,5420,98690,0,West Midlands,1074,ATH
Atherton,79802,73062,39998,192862,0,North West,2584,ATN
Attadale,776,234,32,1042,0,Scotland,8608,ATT
Attenborough,37988,10386,4330,52704,0,East Midlands,1624,ATB
Attleborough,63556,82966,22374,168896,0,East of England,7367,ATL
Auchinleck,17162,25948,1422,44532,0,Scotland,9457,AUK
Audley End,159338,313114,151118,623570,3349,East of England,7017,AUD
Aughton Park,33010,71086,35454,139550,0,North West,2215,AUG
Aviemore,43582,66878,1630,112090,69,Scotland,8610,AVM
Avoncliff,11520,10180,1702,23402,0,South West,3265,AVF
Avonmouth,83898,9560,16478,109936,0,South West,3200,AVN
Axminster,23054,236858,106538,366450,0,South West,5714,AXM
Aylesbury,330946,334144,208842,873932,3679,South East,1492,AYS
Aylesbury Vale Parkway,44188,38412,21144,103744,0,South East,1090,AVP
Aylesford,39442,32104,37646,109192,0,South East,5162,AYL
Aylesham,31870,41202,30054,103126,0,South East,5197,AYH
Ayr,278090,491884,51314,821288,52388,Scotland,9463,AYR
Bache,115732,215342,15848,346922,0,North West,2187,BAC
Baglan,15972,2504,6596,25072,0,Wales,4186,BAJ
Bagshot,40054,49796,14378,104228,0,South East,5681,BAG
Baildon,71930,49764,93048,214742,0,Yorkshire and The Humber,8552,BLD
Baillieston,39248,57962,20140,117350,0,Scotland,9763,BIO
Balcombe,48736,83260,31384,163380,0,South East,5492,BAB
Baldock,176544,249708,76334,502586,0,East of England,6084,BDK
Balham,1371102,1830622,974214,4175938,183785,London,5399,BAL
Balloch,95756,224686,30826,351268,0,Scotland,9862,BHC
Balmossie,570,96,168,834,0,Scotland,9013,BSI
Bamber Bridge,19234,38746,11188,69168,0,North West,2561,BMB
Bamford,13896,34772,602,49270,0,East Midlands,2820,BAM
Banavie,2102,2182,0,4284,0,Scotland,8839,BNV
Banbury,440808,1145532,227066,1813406,234856,South East,4502,BAN
Bangor (Gwynedd),164526,394588,18896,578010,502,Wales,2471,BNG
Bank Hall,37980,85818,87390,211188,0,North West,2238,BAH
Banstead,46962,53092,15418,115472,0,South East,5348,BAD
Barassie,36286,65094,10738,112118,0,Scotland,9466,BSS
Bardon Mill,2864,5396,10,8270,0,North East,7563,BLL
Bare Lane,17432,39826,55534,112792,0,North West,2690,BAR
Bargeddie,24344,41596,7268,73208,0,Scotland,9764,BGI
Bargoed,113848,6274,27970,148092,0,Wales,4011,BGD
Barking,3850930,6213612,2665670,12730212,746152,London,7492,BKG
Barking Riverside,174750,211744,74890,461384,0,London,1335,BGV
Barming,57864,116374,30708,204946,0,South East,5133,BMG
Barmouth,100876,39022,30460,170358,0,Wales,4445,BRM
Barnehurst,322854,361682,156496,841032,0,London,5089,BNH
Barnes,671828,824192,409180,1905200,17391,London,5551,BNS
Barnes Bridge,257144,313590,113844,684578,0,London,5580,BNI
Barnetby,4916,34762,2784,42462,3862,Yorkshire and The Humber,6406,BTB
Barnham,190052,340756,393744,924552,702656,South East,5252,BAA
Barnhill,18242,30734,5518,54494,0,Scotland,9973,BNL
Barnsley,424502,613256,175576,1213334,22708,Yorkshire and The Humber,6774,BNY
Barnstaple,75328,306956,154656,536940,0,South West,5725,BNP
Barnt Green,86114,69626,90756,246496,48878,West Midlands,1096,BTG
Barrhead,140358,211320,85602,437280,0,Scotland,9674,BRR
Barrhill,1690,3334,0,5024,0,Scotland,9467,BRL
Barrow Haven,170,308,0,478,0,Yorkshire and The Humber,6212,BAV
Barrow-In-Furness,105920,386520,47292,539732,26332,North West,1954,BIF
Barrow-Upon-Soar,34950,26386,14380,75716,0,East Midlands,1903,BWS
Barry,336604,28412,87008,452024,3450,Wales,3805,BRY
Barry Docks,163952,9572,46268,219792,0,Wales,3806,BYD
Barry Island,257536,24858,85200,367594,0,Wales,3807,BYI
Barry Links,456,14,0,470,0,Scotland,9020,BYL
Barton-On-Humber,8646,14996,654,24296,0,Yorkshire and The Humber,6207,BAU
Basildon,1012610,761742,619808,2394160,0,East of England,7494,BSO
Basingstoke,953180,2411440,639446,4004066,1076621,South East,5520,BSK
Bat and Ball,58060,49044,63628,170732,0,South East,5090,BBL
Bath Spa,937716,4260936,269814,5468466,173415,South West,3271,BTH
Bathgate,282916,407492,79122,769530,0,Scotland,9311,BHG
Batley,118146,103610,43132,264888,0,Yorkshire and The Humber,8484,BTL
Battersby,268,1676,220,2164,0,Yorkshire and The Humber,7909,BTT
Battersea Park,423854,609134,340806,1373794,4479,London,5420,BAK
Battle,77294,223788,99732,400814,0,South East,5215,BAT
Battlesbridge,6768,6700,5618,19086,0,East of England,6870,BLB
Bayford,21184,29704,4888,55776,0,East of England,6006,BAY
Beaconsfield,400826,384088,179992,964906,0,South East,3047,BCF
Bearley,748,600,32,1380,0,West Midlands,2420,BER
Bearsden,103440,172922,31068,307430,0,Scotland,9966,BRN
Bearsted,58250,118112,85388,261750,0,South East,5091,BSD
Beasdale,90,80,0,170,0,Scotland,8822,BSL
Beaulieu Road,1536,12996,914,15446,0,South East,5890,BEU
Beauly,29264,5074,2250,36588,0,Scotland,8877,BEL
Bebington,324922,329066,95586,749574,0,North West,2188,BEB
Beccles,30464,76608,4742,111814,0,East of England,7258,BCC
Beckenham Hill,113866,149236,48408,311510,0,London,5076,BEC
Beckenham Junction,503644,713604,234190,1451438,35852,London,5046,BKJ
Bedford,452230,2013408,570074,3035712,40131,East of England,1512,BDM
Bedford St Johns,21092,93906,26588,141586,0,East of England,1510,BSJ
Bedhampton,29174,47878,12980,90032,0,South East,5538,BDH
Bedminster,48562,46968,7716,103246,0,South West,3245,BMT
Bedworth,32018,16154,6364,54536,0,West Midlands,1165,BEH
Bedwyn,10548,57710,13276,81534,0,South West,3070,BDW
Beeston,220246,191510,27654,439410,38454,East Midlands,1625,BEE
Bekesbourne,10050,9366,3454,22870,0,South East,5198,BKS
Belle Vue,2822,2514,1208,6544,0,North West,2785,BLV
Bellgrove,173078,333678,47290,554046,15751,Scotland,9895,BLG
Bellingham,198724,209274,144156,552154,0,London,5062,BGM
Bellshill,160708,248068,102468,511244,31838,Scotland,9714,BLH
Belmont,53112,51540,39884,144536,0,London,5350,BLM
Belper,49656,111904,6930,168490,1672,East Midlands,1679,BLP
Beltring,4816,4178,3232,12226,0,South East,5227,BEG
Belvedere,279388,377904,141762,799054,0,London,5092,BVD
Bempton,2982,17230,886,21098,0,Yorkshire and The Humber,8047,BEM
Ben Rhydding,86022,60154,37606,183782,0,Yorkshire and The Humber,8564,BEY
Benfleet,1040696,719776,637588,2398060,0,East of England,7439,BEF
Bentham,5754,29536,1126,36416,0,Yorkshire and The Humber,2676,BEN
Bentley (Hampshire),34062,30634,17790,82486,0,South East,5624,BTY
Bentley (South Yorkshire),38108,54214,20380,112702,0,Yorkshire and The Humber,8352,BYK
Bere Alston,5978,19420,5692,31090,0,South West,3549,BAS
Bere Ferrers,912,7848,2498,11258,0,South West,3550,BFE
Berkhamsted,391396,507068,124902,1023366,0,East of England,1390,BKM
Berkswell,55380,94394,72434,222208,0,West Midlands,1045,BKW
Bermuda Park,12946,6830,2166,21942,0,West Midlands,6543,BEP
Berney Arms,504,438,8,950,0,East of England,7330,BYA
Berry Brow,8578,8634,7990,25202,0,Yorkshire and The Humber,8431,BBW
Berrylands,113414,144352,30450,288216,0,London,5581,BRS
Berwick (Sussex),14316,38582,18270,71168,0,South East,5323,BRK
Berwick-Upon-Tweed,0,555546,12236,567782,6581,North East,7791,BWK
Bescar Lane,1030,1112,48,2190,0,North West,2351,BES
Bescot Stadium,39594,64042,30558,134194,0,West Midlands,1003,BSC
Betchworth,3880,6040,2448,12368,0,South East,5472,BTO
Bethnal Green,430254,687088,213570,1330912,0,London,6961,BET
Betws-y-Coed,19400,13846,76,33322,0,Wales,2449,BYC
Beverley,73820,447566,82248,603634,6,Yorkshire and The Humber,8048,BEV
Bexhill,262672,555122,581786,1399580,0,South East,5211,BEX
Bexley,392952,431884,129660,954496,0,London,5093,BXY
Bexleyheath,584484,640464,198478,1423426,0,London,5094,BXH
Bicester North,141212,404400,86932,632544,18563,South East,3048,BCS
Bicester Village,186156,1286918,137522,1610596,616,South East,3104,BIT
Bickley,237026,261496,79646,578168,3410,London,5063,BKL
Bidston,95472,114516,60886,270874,76964,North West,2136,BID
Biggleswade,254916,379590,118544,753050,0,East of England,6170,BIW
Bilbrook,59624,23560,19152,102336,0,West Midlands,4618,BBK
Billericay,809220,574122,503672,1887014,0,East of England,6871,BIC
Billingham,22232,48096,6906,77234,0,North East,7910,BIL
Billingshurst,96102,186814,107956,390872,0,South East,5464,BIG
Bingham,21058,34642,7840,63540,0,East Midlands,6235,BIN
Bingley,279864,462642,177494,920000,0,Yorkshire and The Humber,8553,BIY
Birchgrove,26328,1526,5524,33378,0,Wales,3907,BCG
Birchington-On-Sea,35780,96022,176044,307846,0,South East,5163,BCH
Birchwood,168640,138808,51308,358756,0,North West,2304,BWD
Birkbeck,34918,25604,10722,71244,0,London,5401,BIK
Birkdale,153768,666114,154632,974514,0,North West,2352,BDL
Birkenhead Central,241100,271034,115060,627194,0,North West,2217,BKC
Birkenhead Hamilton Square,696478,405278,193002,1294758,329065,North West,2219,BKQ
Birkenhead North,464062,269390,145026,878478,71783,North West,2145,BKN
Birkenhead Park,264098,218144,114218,596460,0,North West,2220,BKP
Birmingham International,1244620,2501644,438826,4185090,258069,West Midlands,1215,BHI
Birmingham Moor Street,1635602,2527772,1362402,5525776,335256,West Midlands,4515,BMO
Birmingham New Street,8122474,16961660,5642146,30726280,4328228,West Midlands,1127,BHM
Birmingham Snow Hill,727288,1078192,912838,2718318,175501,West Midlands,1006,BSW
Bishop Auckland,33046,103540,16978,153564,0,North East,7835,BIA
Bishopbriggs,151044,356498,36048,543590,0,Scotland,9940,BBG
Bishops Lydeard,0,0,0,0,0,South West,3446,BIB
Bishops Stortford,783968,978128,601384,2363480,71988,East of England,6800,BIS
Bishopstone (Sussex),11648,28248,3208,43104,0,South East,5402,BIP
Bishopton (Renfrewshire),155020,299080,97466,551566,0,Scotland,9620,BPT
Bitterne,21006,35198,9094,65298,0,South East,5945,BTE
Blackburn,250204,821990,129510,1201704,71203,North West,2737,BBN
Blackheath,690438,1083700,295530,2069668,4047,London,5095,BKH
Blackhorse Road,568902,945460,418100,1932462,0,London,7400,BHO
Blackpool North,175268,1691274,42236,1908778,987,North West,2739,BPN
Blackpool Pleasure Beach,11906,120126,1050,133082,0,North West,2738,BPB
Blackpool South,13616,84606,6342,104564,0,North West,2740,BPS
Blackridge,15778,18682,2822,37282,0,Scotland,991,BKR
Blackrod,37076,42952,74216,154244,0,North West,2732,BLK
Blackwater,87324,197252,36362,320938,0,South East,5625,BAW
Blaenau Ffestiniog,12872,16910,28,29810,0,Wales,2450,BFF
Blair Atholl,4978,8384,40,13402,0,Scotland,8750,BLA
Blairhill,90244,154020,45900,290164,0,Scotland,9760,BAI
Blake Street,72170,92716,99366,264252,0,West Midlands,1176,BKT
Blakedown,15918,9512,47542,72972,0,West Midlands,4574,BKD
Blantyre,99954,168076,44218,312248,0,Scotland,9716,BLT
Blaydon,8306,26602,9250,44158,0,North East,7503,BLO
Bleasby,4550,716,18,5284,0,East Midlands,6204,BSB
Bletchley,136414,414180,183616,734210,58278,South East,1360,BLY
Bloxwich,33446,40254,1346,75046,0,West Midlands,1141,BLX
Bloxwich North,35322,40868,1580,77770,0,West Midlands,1018,BWN
Blundellsands and Crosby,285914,822824,256270,1365008,0,North West,2123,BLN
Blythe Bridge,39266,24146,8888,72300,0,West Midlands,1282,BYB
Bodmin Parkway,7200,238908,15308,261416,0,South West,3501,BOD
Bodorgan,2514,2350,92,4956,0,Wales,2435,BOR
Bognor Regis,194264,578096,252664,1025024,0,South East,5253,BOG
Bogston,6460,10302,2708,19470,0,Scotland,9668,BGS
Bolton,676932,1434132,388258,2499322,422583,North West,2599,BON
Bolton-Upon-Dearne,28700,19938,14798,63436,0,Yorkshire and The Humber,8536,BTD
Bond Street,5507506,11466274,2426636,19400416,0,London,6553,BDS
Bookham,70190,75158,22706,168054,0,South East,5626,BKA
Bootle (Cumbria),3660,7458,848,11966,0,North West,1993,BOC
Bootle New Strand,196850,401382,149260,747492,1254,North West,2195,BNW
Bootle Oriel Road,153814,313632,116628,584074,0,North West,2239,BOT
Bordesley,916,7474,698,9088,0,West Midlands,4513,BBS
Borough Green and Wrotham,110566,116150,80234,306950,0,South East,5130,BRG
Borth,32372,12022,508,44902,0,Wales,4304,BRH
Bosham,20544,27564,11096,59204,0,South East,5254,BOH
Boston,63234,129756,7102,200092,1,East Midlands,6216,BSN
Botley,30954,72650,21840,125444,0,South East,5894,BOE
Bottesford,25128,17350,6030,48508,0,East Midlands,6237,BTF
Bourne End,64376,80288,49394,194058,84287,South East,3018,BNE
Bournemouth,433204,1895664,101256,2430124,48487,South West,5876,BMH
Bournville,213822,318930,169626,702378,0,West Midlands,1112,BRV
Bow Brickhill,4440,4206,9886,18532,0,South East,1381,BWB
Bow Street,14764,7246,1272,23282,0,Wales,4219,BOW
Bowes Park,165552,158202,79198,402952,0,London,6027,BOP
Bowling,6410,12310,6714,25434,0,Scotland,9968,BWG
Box Hill and Westhumble,23830,76136,5982,105948,0,South East,5403,BXW
Bracknell,515106,771352,204210,1490668,132,South East,5693,BCE
Bradford Forster Square,510654,585840,341238,1437732,27880,Yorkshire and The Humber,8346,BDQ
Bradford Interchange,566596,1311412,346904,2224912,69528,Yorkshire and The Humber,8345,BDI
Bradford-On-Avon,180694,215466,30540,426700,6234,South West,3341,BOA
Brading,3298,10506,2574,16378,0,South East,5530,BDN
Braintree,115572,228136,181074,524782,0,East of England,6801,BTR
Braintree Freeport,31828,58314,19164,109306,0,East of England,2053,BTP
Bramhall,56760,66854,25694,149308,0,North West,2944,BML
Bramley (Hampshire),52280,129526,37714,219520,0,South East,5500,BMY
Bramley (West Yorkshire),115462,93030,49710,258202,0,Yorkshire and The Humber,8496,BLE
Brampton (Cumbria),3572,6342,46,9960,0,North West,7565,BMP
Brampton (Suffolk),2808,5656,926,9390,0,East of England,7259,BRP
Branchton,29730,45600,13176,88506,0,Scotland,9938,BCN
Brandon,48198,56440,10464,115102,0,East of England,7200,BND
Branksome,51658,138034,12772,202464,0,South West,5875,BSM
Braystones,194,1088,0,1282,0,North West,2045,BYS
Bredbury,64914,57046,34486,156446,0,North West,2779,BDY
Breich,2506,1926,52,4484,0,Scotland,9251,BRC
Brentford,340906,339980,216792,897678,0,London,5552,BFD
Brentwood,1176284,1336510,336818,2849612,0,East of England,6872,BRE
Bricket Wood,10140,8670,2898,21708,0,East of England,1560,BWO
Bridge Of Allan,96294,87668,8598,192560,0,Scotland,9889,BEA
Bridge Of Orchy,3546,1844,0,5390,0,Scotland,8823,BRO
Bridgend,619720,368602,144962,1133284,33063,Wales,3809,BGN
Bridgeton,142390,291170,66748,500308,0,Scotland,9789,BDG
Bridgwater,121014,283818,23896,428728,0,South West,3449,BWT
Bridlington,62942,407906,33940,504788,1082,Yorkshire and The Humber,8049,BDT
Brierfield,8684,15436,5290,29410,0,North West,2554,BRF
Brigg,48,240,0,288,0,Yorkshire and The Humber,6464,BGG
Brighouse,98976,194644,36162,329782,0,Yorkshire and The Humber,8514,BGH
Brighton,2580238,9925494,1547158,14052890,893229,South East,5268,BTN
Brimsdown,325696,472108,139768,937572,0,London,6810,BMD
Brinnington,31264,31170,19638,82072,0,North West,2603,BNT
Bristol Parkway,318880,1445160,59606,1823646,677864,South West,3230,BPW
Bristol Temple Meads,2268610,6603686,419384,9291680,1242101,South West,3231,BRI
Brithdir,9144,428,2798,12370,0,Wales,4012,BHD
Briton Ferry,20684,2772,1966,25422,0,Wales,4187,BNF
Brixton,236716,328280,139164,704160,0,London,5081,BRX
Broad Green,160568,122828,84156,367552,0,North West,2240,BGE
Broadbottom,44772,34416,23656,102844,0,North West,2892,BDB
Broadstairs,94950,442736,93722,631408,0,South East,5006,BSR
Brockenhurst,173986,501120,124026,799132,196256,South East,5886,BCU
Brockholes,14804,16940,3006,34750,0,Yorkshire and The Humber,8429,BHS
Brockley,1037520,1903728,389662,3330910,0,London,5404,BCY
Bromborough,207200,214098,105252,526550,0,North West,2190,BOM
Bromborough Rake,69286,95118,49080,213484,0,North West,2191,BMR
Bromley Cross (Lancs),90432,92266,56316,239014,0,North West,2697,BMC
Bromley North,66136,76374,37386,179896,0,London,5096,BMN
Bromley South,1751032,2892144,900120,5543296,764420,London,5064,BMS
Bromsgrove,239990,174706,98478,513174,0,West Midlands,4715,BMV
Brondesbury,597922,1079880,500916,2178718,0,London,1437,BSY
Brondesbury Park,319928,436002,137646,893576,0,London,1438,BSP
Brookmans Park,100850,99688,19008,219546,0,East of England,6074,BPK
Brookwood,322252,261576,139558,723386,45458,South East,5687,BKO
Broome,518,104,0,622,0,West Midlands,4175,BME
Broomfleet,222,506,62,790,0,Yorkshire and The Humber,8050,BMF
Brora,3448,1146,0,4594,0,Scotland,8618,BRA
Brough,37836,361726,17750,417312,7623,Yorkshire and The Humber,8051,BUH
Broughty Ferry,56718,24488,3062,84268,0,Scotland,9023,BYF
Broxbourne,546050,693902,136298,1376250,284657,East of England,6812,BXB
Bruce Grove,301468,521288,176392,999148,0,London,6958,BCV
Brundall,32826,50410,8832,92068,958,East of England,7289,BDA
Brundall Gardens,6498,6966,1094,14558,0,East of England,7006,BGA
Brunstane,62194,45172,2578,109944,0,Scotland,8807,BSU
Brunswick,279646,288996,214056,782698,0,North West,3623,BRW
Bruton,17766,27658,814,46238,0,South West,5702,BRU
Bryn,34966,42050,6470,83486,0,North West,2222,BYN
Buckenham,46,208,100,354,0,East of England,7290,BUC
Buckley,27960,2036,332,30328,0,Wales,2422,BCK
Bucknell,1596,590,858,3044,0,West Midlands,4182,BUK
Buckshaw Parkway,103990,186848,49418,340256,0,North West,7501,BSV
Bugle,628,5416,576,6620,0,South West,3502,BGL
Builth Road,2082,1744,88,3914,0,Wales,4317,BHR
Bulwell,30646,13996,11694,56336,0,East Midlands,1865,BLW
Bures,16218,16822,12028,45068,0,East of England,7085,BUE
Burgess Hill,308680,753302,405110,1467092,0,South East,5483,BUG
Burley Park,176898,346888,45234,569020,0,Yorkshire and The Humber,8500,BUY
Burley-In-Wharfedale,168600,122454,174192,465246,0,Yorkshire and The Humber,8565,BUW
Burnage,57482,61854,22852,142188,0,North West,2945,BNA
Burneside (Cumbria),2542,12358,2018,16918,0,North West,1975,BUD
Burnham (Buckinghamshire),410526,587466,259840,1257832,0,South East,3176,BNM
Burnham-On-Crouch,58444,62700,41826,162970,0,East of England,6873,BUU
Burnley Barracks,8218,15248,2438,25904,0,North West,2743,BUB
Burnley Central,29640,50228,20314,100182,7,North West,2550,BNC
Burnley Manchester Road,156962,311664,38738,507364,7748,North West,2549,BYM
Burnside (South Lanarkshire),49354,117234,15638,182226,0,Scotland,9767,BUI
Burntisland,53250,85592,11820,150662,0,Scotland,9107,BTS
Burscough Bridge,62458,77292,25548,165298,0,North West,2279,BCB
Burscough Junction,19104,18134,3032,40270,0,North West,2280,BCJ
Bursledon,15514,33452,5784,54750,0,South East,5927,BUO
Burton Joyce,5934,3264,228,9426,0,East Midlands,6200,BUJ
Burton-On-Trent,193310,439098,31090,663498,12749,West Midlands,1658,BUT
Bury St Edmunds,235218,390422,72642,698282,911,East of England,7008,BSE
Busby,35006,61588,8498,105092,0,Scotland,9791,BUS
Bush Hill Park,372088,462150,59440,893678,0,London,6913,BHK
Bushey,397220,543664,59964,1000848,0,East of England,1395,BSH
Butlers Lane,35298,56550,50220,142068,0,West Midlands,1179,BUL
Buxted,29048,39872,23936,92856,0,South East,5324,BXD
Buxton,36816,230932,33820,301568,0,East Midlands,2946,BUX
Byfleet and New Haw,134794,128594,53412,316800,0,South East,5689,BFN
Bynea,878,388,0,1266,0,Wales,4124,BYE
Cadoxton,201510,9542,47112,258164,0,Wales,3811,CAD
Caergwrle,8290,846,730,9866,0,Wales,2536,CGW
Caerphilly,407356,29334,88210,524900,0,Wales,3812,CPH
Caersws,19592,21184,1724,42500,0,Wales,4412,CWS
Caldercruix,23120,31170,12904,67194,0,Scotland,992,CAC
Caldicot,51508,7126,7278,65912,0,Wales,3680,CDT
Caledonian Road and Barnsbury,453940,658682,215820,1328442,0,London,1439,CIR
Calstock,2008,26094,3514,31616,0,South West,3562,CSK
Cam and Dursley,65684,109712,7580,182976,0,South West,3238,CDU
Camberley,96216,173028,18656,287900,0,South East,5682,CAM
Camborne,30310,206272,59226,295808,0,South West,3504,CBN
Cambridge,2331900,5809382,1200318,9341600,481342,East of England,7022,CBG
Cambridge Heath,242406,407088,121996,771490,0,London,6962,CBH
