station_name,year,full_price_tickets,reduced_price_tickets,season_tickets,interchanges,total_entries_exits,region,forecast_2024-25,growth_absolute,growth_percent
aintree,2023-24,204630,462630,241702,0,908962,,976262.0,67300.0,7.996083938683224
airbles,2022-23,27468,40642,11390,0,79500,,141956.0,31228.0,39.28050314465409
airbles,2023-24,40904,55414,14410,0,110728,,141956.0,31228.0,39.28050314465409
airdrie,2022-23,196716,341584,94498,0,632798,,916326.0,141764.0,22.402725672331457
airdrie,2023-24,275300,385386,113876,0,774562,,916326.0,141764.0,22.402725672331457
albany park,2022-23,286128,253588,82774,0,622490,,699318.0,38414.0,6.171022827675947
albany park,2023-24,310616,259456,90832,0,660904,,699318.0,38414.0,6.171022827675947
albrighton,2022-23,27064,27812,14680,0,69556,,113124.0,21784.0,31.318649721088043
albrighton,2023-24,32464,34162,24714,0,91340,,113124.0,21784.0,31.318649721088043
alderley edge,2022-23,105456,77540,43696,0,226692,,252192.0,12750.0,5.624371393785401
alderley edge,2023-24,113210,85064,41168,0,239442,,252192.0,12750.0,5.624371393785401
aldermaston,2022-23,12038,30466,8098,0,50602,,63442.0,6420.0,12.687245563416466
aldermaston,2023-24,14218,35034,7770,0,57022,,63442.0,6420.0,12.687245563416466
aldershot,2022-23,346468,589196,157812,79583,1093476,,1364652.0,135588.0,12.399723450720455
aldershot,2023-24,389106,671932,168026,91915,1229064,,1364652.0,135588.0,12.399723450720455
aldrington,2022-23,44632,63252,19926,0,127810,,152006.0,12098.0,9.465613019325561
aldrington,2023-24,46124,72230,21554,0,139908,,152006.0,12098.0,9.465613019325561
alexandra palace,2022-23,470546,709888,159616,43873,1340050,,1851926.0,255938.0,19.099138091862244
alexandra palace,2023-24,536634,872596,186758,39862,1595988,,1851926.0,255938.0,19.099138091862244
alexandra parade,2022-23,83590,165438,14686,0,263714,,460742.0,98514.0,37.356378500951784
alexandra parade,2023-24,129932,214870,17426,0,362228,,460742.0,98514.0,37.356378500951784
alexandria,2022-23,43810,78782,25748,0,148340,,205572.0,28616.0,19.29081839018471
alexandria,2023-24,54818,87562,34576,0,176956,,205572.0,28616.0,19.29081839018471
alfreton,2022-23,94974,184888,9976,0,289838,,342554.0,26358.0,9.094045639288154
alfreton,2023-24,108220,193562,14414,0,316196,,342554.0,26358.0,9.094045639288154
allens west,2022-23,23140,34918,15108,0,73166,,97546.0,12190.0,16.660744061449307
allens west,2023-24,24882,46244,14230,0,85356,,97546.0,12190.0,16.660744061449307
alloa,2022-23,90676,238920,25684,0,355280,,637760.0,141240.0,39.75455978383247
alloa,2023-24,159508,307108,29904,0,496520,,637760.0,141240.0,39.75455978383247
alness,2022-23,13324,2718,762,0,16804,,25052.0,4124.0,24.541775767674363
alness,2023-24,17594,2488,846,0,20928,,25052.0,4124.0,24.541775767674363
alnmouth,2022-23,15460,302826,12778,263,331064,,375444.0,22190.0,6.702631515356547
alnmouth,2023-24,10904,328222,14128,111,353254,,375444.0,22190.0,6.702631515356547
alresford (essex),2022-23,16418,26058,20974,0,63450,,107678.0,22114.0,34.852639873916466
alresford (essex),2023-24,22574,38126,24864,0,85564,,107678.0,22114.0,34.852639873916466
alsager,2022-23,61616,26884,6122,0,94622,,108218.0,6798.0,7.184375726575215
alsager,2023-24,65248,28146,8026,0,101420,,108218.0,6798.0,7.184375726575215
althorne (essex),2022-23,8196,7992,5720,0,21908,,36720.0,7406.0,33.805002738725584
althorne (essex),2023-24,11250,10554,7510,0,29314,,36720.0,7406.0,33.805002738725584
althorpe,2022-23,618,750,40,0,1408,,5180.0,1886.0,133.94886363636365
althorpe,2023-24,1560,1714,20,0,3294,,5180.0,1886.0,133.94886363636365
altnabreac,2022-23,262,18,0,0,280,Scotland,220.0,-30.0,-10.714285714285714
altnabreac,2023-24,206,44,0,0,250,Scotland,220.0,-30.0,-10.714285714285714
alton,2022-23,152124,234996,108912,0,496032,,592084.0,48026.0,9.682036642797238
alton,2023-24,170262,264088,109708,0,544058,,592084.0,48026.0,9.682036642797238
altrincham,2022-23,86220,104640,56654,8,247514,,298502.0,25494.0,10.30002343301793
altrincham,2023-24,93446,123546,56016,16,273008,,298502.0,25494.0,10.30002343301793
alvechurch,2022-23,54802,36662,32090,0,123554,,178530.0,27488.0,22.247762112112923
alvechurch,2023-24,68312,42378,40352,0,151042,,178530.0,27488.0,22.247762112112923
ambergate,2022-23,13910,17698,1554,0,33162,,36682.0,1760.0,5.307279416199264
ambergate,2023-24,14406,18308,2208,0,34922,,36682.0,1760.0,5.307279416199264
amberley,2022-23,16632,33800,10148,0,60580,,81092.0,10256.0,16.929679762297788
amberley,2023-24,19846,41304,9686,0,70836,,81092.0,10256.0,16.929679762297788
amersham,2022-23,632678,858442,72342,0,1563462,,1970354.0,203446.0,13.012532444024863
amersham,2023-24,723186,973568,70154,0,1766908,,1970354.0,203446.0,13.012532444024863
ammanford,2022-23,7868,3122,20,0,11010,,21114.0,5052.0,45.88555858310627
ammanford,2023-24,9500,6530,32,0,16062,,21114.0,5052.0,45.88555858310627
ancaster,2022-23,4880,732,1936,0,7548,,3420.0,-2064.0,-27.344992050874406
ancaster,2023-24,3716,828,940,0,5484,,3420.0,-2064.0,-27.344992050874406
anderston,2022-23,81606,95904,50996,0,228506,,508642.0,140068.0,61.2972963510805
anderston,2023-24,156508,167618,44448,0,368574,,508642.0,140068.0,61.2972963510805
andover,2022-23,171606,595142,154978,16134,921726,,1125694.0,101984.0,11.064459503149527
andover,2023-24,213796,642382,167532,4323,1023710,,1125694.0,101984.0,11.064459503149527
anerley,2022-23,319968,479538,101376,0,900882,,988362.0,43740.0,4.855241862974285
anerley,2023-24,324232,524874,95516,0,944622,,988362.0,43740.0,4.855241862974285
angmering,2022-23,160312,385624,187906,0,733842,,706062.0,-13890.0,-1.8927780094352735
angmering,2023-24,155296,390132,174524,0,719952,,706062.0,-13890.0,-1.8927780094352735
annan,2022-23,7296,91086,1016,0,99398,,156682.0,28642.0,28.815469124127247
annan,2023-24,19624,107442,974,0,128040,,156682.0,28642.0,28.815469124127247
anniesland,2022-23,202336,451466,81646,0,735448,,1136600.0,200576.0,27.272628384331725
anniesland,2023-24,311028,547436,77560,0,936024,,1136600.0,200576.0,27.272628384331725
ansdell and fairhaven,2022-23,8194,28756,4032,0,40982,,50018.0,4518.0,11.024352154604461
ansdell and fairhaven,2023-24,8880,32504,4116,0,45500,,50018.0,4518.0,11.024352154604461
apperley bridge,2022-23,90146,217022,55820,0,362988,,414020.0,25516.0,7.029433479894652
apperley bridge,2023-24,91002,243438,54064,0,388504,,414020.0,25516.0,7.029433479894652
appleby,2022-23,7166,43222,2286,0,52674,,60350.0,3838.0,7.28632722026047
appleby,2023-24,8244,46172,2096,0,56512,,60350.0,3838.0,7.28632722026047
appledore (kent),2022-23,6582,14642,5254,0,26478,,31050.0,2286.0,8.633582596872875
appledore (kent),2023-24,7368,16168,5228,0,28764,,31050.0,2286.0,8.633582596872875
appleford,2022-23,3206,3032,996,0,7234,,7378.0,72.0,0.9952999723527786
appleford,2023-24,2658,3232,1416,0,7306,,7378.0,72.0,0.9952999723527786
appley bridge,2022-23,38042,69272,23402,0,130716,,127352.0,-1682.0,-1.2867590807552252
appley bridge,2023-24,38240,63932,26862,0,129034,,127352.0,-1682.0,-1.2867590807552252
apsley,2022-23,153556,191356,60860,0,405772,,539852.0,67040.0,16.52159340713504
apsley,2023-24,180188,231768,60856,0,472812,,539852.0,67040.0,16.52159340713504
arbroath,2022-23,107256,172076,13942,14504,293274,,424942.0,65834.0,22.44794969891637
arbroath,2023-24,153450,188668,16990,2142,359108,,424942.0,65834.0,22.44794969891637
ardgay,2022-23,3604,778,30,0,4412,Scotland,6936.0,1262.0,28.603807796917497
ardgay,2023-24,4700,974,0,0,5674,Scotland,6936.0,1262.0,28.603807796917497
ardlui,2022-23,2492,790,0,0,3282,Scotland,4954.0,836.0,25.472273004265695
ardlui,2023-24,3176,942,0,0,4118,Scotland,4954.0,836.0,25.472273004265695
ardrossan harbour,2022-23,50726,41358,338,0,92422,Scotland,122482.0,15030.0,16.262361775334877
ardrossan harbour,2023-24,61018,46220,214,0,107452,Scotland,122482.0,15030.0,16.262361775334877
ardrossan south beach,2022-23,41152,89844,12204,284,143200,Scotland,200272.0,28536.0,19.927374301675975
ardrossan south beach,2023-24,55238,103398,13100,314,171736,Scotland,200272.0,28536.0,19.927374301675975
ardrossan town,2022-23,4008,9378,696,0,14082,Scotland,20526.0,3222.0,22.88027268853856
ardrossan town,2023-24,5512,10988,804,0,17304,Scotland,20526.0,3222.0,22.88027268853856
ardwick,2022-23,212,112,0,0,324,North West,468.0,72.0,22.22222222222222
ardwick,2023-24,218,76,102,0,396,North West,468.0,72.0,22.22222222222222
argyle street,2022-23,186068,543014,80832,0,809914,,1731218.0,460652.0,56.876656040023995
argyle street,2023-24,346606,835144,88816,0,1270566,,1731218.0,460652.0,56.876656040023995
arisaig,2022-23,2298,1898,0,0,4196,Scotland,7960.0,1882.0,44.85224022878933
arisaig,2023-24,3722,2356,0,0,6078,Scotland,7960.0,1882.0,44.85224022878933
arlesey,2022-23,192284,271504,88362,0,552150,,632778.0,40314.0,7.3012768269491986
arlesey,2023-24,218242,285976,88246,0,592464,,632778.0,40314.0,7.3012768269491986
armadale (west lothian),2022-23,68552,88818,15548,0,172918,,253882.0,40482.0,23.411096589134733
armadale (west lothian),2023-24,93304,103242,16854,0,213400,,253882.0,40482.0,23.411096589134733
armathwaite,2022-23,976,6974,480,0,8430,,14434.0,3002.0,35.61091340450771
armathwaite,2023-24,1042,9258,1132,0,11432,,14434.0,3002.0,35.61091340450771
arnside,2022-23,11754,77360,2216,0,91330,,121242.0,14956.0,16.37578013796124
arnside,2023-24,12960,88520,4806,0,106286,,121242.0,14956.0,16.37578013796124
arram,2022-23,82,304,212,0,598,,2982.0,1192.0,199.33110367892976
arram,2023-24,318,932,540,0,1790,,2982.0,1192.0,199.33110367892976
arrochar and tarbet,2022-23,12514,4054,390,0,16958,,26414.0,4728.0,27.880646302630023
arrochar and tarbet,2023-24,16270,4886,530,0,21686,,26414.0,4728.0,27.880646302630023
arundel,2022-23,43840,152696,61858,0,258394,,301382.0,21494.0,8.318304604596081
arundel,2023-24,48380,171890,59618,0,279888,,301382.0,21494.0,8.318304604596081
ascot (berks),2022-23,312308,445200,63902,224915,821410,,893282.0,35936.0,4.374916302455533
ascot (berks),2023-24,311694,477810,67842,259813,857346,,893282.0,35936.0,4.374916302455533
ascott-under-wychwood,2022-23,1154,136,338,0,1628,,1156.0,-236.0,-14.496314496314497
ascott-under-wychwood,2023-24,1046,150,196,0,1392,,1156.0,-236.0,-14.496314496314497
ash,2022-23,58968,108704,36378,32638,204050,,261810.0,28880.0,14.153393776035287
ash,2023-24,66592,125536,40802,36416,232930,,261810.0,28880.0,14.153393776035287
ash vale,2022-23,102848,141250,58960,68635,303058,,353922.0,25432.0,8.391792990120702
ash vale,2023-24,113910,154906,59674,91576,328490,,353922.0,25432.0,8.391792990120702
ashburys,2022-23,32864,21416,11708,0,65988,,112852.0,23432.0,35.509486573316366
ashburys,2023-24,27158,44848,17414,0,89420,,112852.0,23432.0,35.509486573316366
ashchurch for tewkesbury,2022-23,27158,48616,6056,0,81830,,105958.0,12064.0,14.742759379200782
ashchurch for tewkesbury,2023-24,32942,55558,5394,0,93894,,105958.0,12064.0,14.742759379200782
ashfield,2022-23,14786,35024,2250,0,52060,,87156.0,17548.0,33.70726085286208
ashfield,2023-24,24834,41634,3140,0,69608,,87156.0,17548.0,33.70726085286208
ashford (surrey),2022-23,265398,270338,189232,0,724968,,800000.0,37516.0,5.17484909678772
ashford (surrey),2023-24,254354,319496,188634,0,762484,,800000.0,37516.0,5.17484909678772
ashford international,2022-23,643488,1711392,892088,836593,3246968,,3774708.0,263870.0,8.126658470302141
ashford international,2023-24,758976,1877420,874442,861778,3510838,,3774708.0,263870.0,8.126658470302141
ashley,2022-23,3050,2948,1904,0,7902,,8594.0,346.0,4.378638319412807
ashley,2023-24,2544,4148,1556,0,8248,,8594.0,346.0,4.378638319412807
ashtead,2022-23,291202,375864,180318,0,847384,,1020216.0,86416.0,10.197973999981118
ashtead,2023-24,313382,444154,176264,0,933800,,1020216.0,86416.0,10.197973999981118
ashton-under-lyne,2022-23,65130,51320,25728,0,142178,,166794.0,12308.0,8.65675420951202
ashton-under-lyne,2023-24,56776,78554,19156,0,154486,,166794.0,12308.0,8.65675420951202
ashurst (kent),2022-23,9344,8178,8966,0,26488,,28356.0,934.0,3.5261250377529447
ashurst (kent),2023-24,9944,8278,9200,0,27422,,28356.0,934.0,3.5261250377529447
ashurst new forest,2022-23,18566,57742,15180,0,91488,,112124.0,10318.0,11.277981811822317
ashurst new forest,2023-24,22298,62938,16570,0,101806,,112124.0,10318.0,11.277981811822317
ashwell and morden,2022-23,44394,56834,39468,0,140696,,151352.0,5328.0,3.7868880423039744
ashwell and morden,2023-24,49682,62608,33734,0,146024,,151352.0,5328.0,3.7868880423039744
askam,2022-23,18472,32458,6676,0,57606,,70754.0,6574.0,11.412005693851334
askam,2023-24,20102,36118,7960,0,64180,,70754.0,6574.0,11.412005693851334
aslockton,2022-23,10260,9354,3858,0,23472,,22916.0,-278.0,-1.1843899113837764
aslockton,2023-24,11124,9244,2826,0,23194,,22916.0,-278.0,-1.1843899113837764
aspatria,2022-23,8342,16590,2946,0,27878,,28202.0,162.0,0.5811033790085373
aspatria,2023-24,6958,17394,3688,0,28040,,28202.0,162.0,0.5811033790085373
aspley guise,2022-23,1488,1946,1216,0,4650,,1990.0,-1330.0,-28.602150537634408
aspley guise,2023-24,922,744,1654,0,3320,,1990.0,-1330.0,-28.602150537634408
aston,2022-23,230546,220590,104056,19387,555192,,709688.0,77248.0,13.913745154829321
aston,2023-24,243232,266834,122374,26623,632440,,709688.0,77248.0,13.913745154829321
atherstone,2022-23,36884,56386,5420,0,98690,,115194.0,8252.0,8.361536123214105
atherstone,2023-24,40226,59218,7498,0,106942,,115194.0,8252.0,8.361536123214105
atherton,2022-23,79802,73062,39998,0,192862,,216842.0,11990.0,6.216880463751283
atherton,2023-24,64820,107242,32790,0,204852,,216842.0,11990.0,6.216880463751283
attadale,2022-23,776,234,32,0,1042,,1646.0,302.0,28.982725527831093
attadale,2023-24,918,220,206,0,1344,,1646.0,302.0,28.982725527831093
attenborough,2022-23,37988,10386,4330,0,52704,,85128.0,16212.0,30.760473588342442
attenborough,2023-24,49408,13090,6418,0,68916,,85128.0,16212.0,30.760473588342442
attleborough,2022-23,63556,82966,22374,0,168896,,175856.0,3480.0,2.0604395604395602
attleborough,2023-24,62870,87796,21710,0,172376,,175856.0,3480.0,2.0604395604395602
auchinleck,2022-23,17162,25948,1422,0,44532,,79268.0,17368.0,39.00116769963173
auchinleck,2023-24,24952,35456,1492,0,61900,,79268.0,17368.0,39.00116769963173
audley end,2022-23,159338,313114,151118,3349,623570,,879098.0,127764.0,20.489119104511122
audley end,2023-24,188472,396936,165926,4653,751334,,879098.0,127764.0,20.489119104511122
aughton park,2022-23,33010,71086,35454,0,139550,,185370.0,22910.0,16.41705481906127
aughton park,2023-24,39428,84608,38424,0,162460,,185370.0,22910.0,16.41705481906127
aviemore,2022-23,43582,66878,1630,69,112090,,148090.0,18000.0,16.058524400035687
aviemore,2023-24,61056,66466,2568,79,130090,,148090.0,18000.0,16.058524400035687
avoncliff,2022-23,11520,10180,1702,0,23402,,24870.0,734.0,3.136484061191351
avoncliff,2023-24,11606,10596,1934,0,24136,,24870.0,734.0,3.136484061191351
avonmouth,2022-23,83898,9560,16478,0,109936,,159140.0,24602.0,22.37847474894484
avonmouth,2023-24,98222,14620,21696,0,134538,,159140.0,24602.0,22.37847474894484
axminster,2022-23,23054,236858,106538,0,366450,,393058.0,13304.0,3.630508937099195
axminster,2023-24,28702,262578,88474,0,379754,,393058.0,13304.0,3.630508937099195
aylesbury,2022-23,330946,334144,208842,3679,873932,,831288.0,-21322.0,-2.439777923225148
aylesbury,2023-24,330340,321360,200910,2470,852610,,831288.0,-21322.0,-2.439777923225148
aylesbury vale parkway,2022-23,44188,38412,21144,0,103744,,114044.0,5150.0,4.964142504626774
aylesbury vale parkway,2023-24,46738,37828,24328,0,108894,,114044.0,5150.0,4.964142504626774
aylesford,2022-23,39442,32104,37646,0,109192,,195240.0,43024.0,39.40215400395633
aylesford,2023-24,56384,44662,51170,0,152216,,195240.0,43024.0,39.40215400395633
aylesham,2022-23,31870,41202,30054,0,103126,,98166.0,-2480.0,-2.4048251653317303
