station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Ashley,2544,4148,1556,8248,0,North West,2850,ASY
Ashtead,313382,444154,176264,933800,0,South East,5347,AHD
Ashton-Under-Lyne,56776,78554,19156,154486,0,North West,2790,AHN
Ashurst (Kent),9944,8278,9200,27422,0,South East,5398,AHS
Ashurst New Forest,22298,62938,16570,101806,0,South East,5906,ANF
Ashwell and Morden,49682,62608,33734,146024,0,East of England,6083,AWM
Askam,20102,36118,7960,64180,0,North West,1953,ASK
Aslockton,11124,9244,2826,23194,0,East Midlands,6233,ALK
Aspatria,6958,17394,3688,28040,0,North West,2095,ASP
Aspley Guise,922,744,1654,3320,0,East of England,1380,APG
Aston,243232,266834,122374,632440,26623,West Midlands,1004,AST
Atherstone,40226,59218,7498,106942,0,West Midlands,1074,ATH
Atherton,64820,107242,32790,204852,0,North West,2584,ATN
Attadale,918,220,206,1344,0,Scotland,8608,ATT
Attenborough,49408,13090,6418,68916,0,East Midlands,1624,ATB
Attleborough,62870,87796,21710,172376,0,East of England,7367,ATL
Auchinleck,24952,35456,1492,61900,0,Scotland,9457,AUK
Audley End,188472,396936,165926,751334,4653,East of England,7017,AUD
Aughton Park,39428,84608,38424,162460,0,North West,2215,AUG
Aviemore,61056,66466,2568,130090,79,Scotland,8610,AVM
Avoncliff,11606,10596,1934,24136,0,South West,3265,AVF
Avonmouth,98222,14620,21696,134538,0,South West,3200,AVN
Axminster,28702,262578,88474,379754,0,South West,5714,AXM
Aylesbury,330340,321360,200910,852610,2470,South East,1492,AYS
Aylesbury Vale Parkway,46738,37828,24328,108894,0,South East,1090,AVP
Aylesford,56384,44662,51170,152216,0,South East,5162,AYL
Aylesham,33604,40852,26190,100646,0,South East,5197,AYH
Ayr,223548,427360,33282,684190,41806,Scotland,9463,AYR
Bache,140440,245840,17036,403316,0,North West,2187,BAC
Baglan,14466,6062,4512,25040,0,Wales,4186,BAJ
Bagshot,44058,58362,11720,114140,0,South East,5681,BAG
Baildon,63284,42888,92122,198294,0,Yorkshire and The Humber,8552,BLD
Baillieston,55588,81996,17722,155306,0,Scotland,9763,BIO
Balcombe,61142,87090,32664,180896,0,South East,5492,BAB
Baldock,193222,253654,80430,527306,0,East of England,6084,BDK
Balham,1640082,2394160,1179168,5213410,237599,London,5399,BAL
Balloch,140140,258878,31556,430574,0,Scotland,9862,BHC
Balmossie,970,216,0,1186,0,Scotland,9013,BSI
Bamber Bridge,20356,37968,15592,73916,0,North West,2561,BMB
Bamford,15700,52300,984,68984,0,East Midlands,2820,BAM
Banavie,3744,3054,0,6798,0,Scotland,8839,BNV
Banbury,470684,1207910,216766,1895360,203888,South East,4502,BAN
Bangor (Gwynedd),180602,484840,31804,697246,596,Wales,2471,BNG
Bank Hall,39476,84398,90296,214170,0,North West,2238,BAH
Banstead,55312,63500,20018,138830,0,South East,5348,BAD
Barassie,49114,80310,7302,136726,0,Scotland,9466,BSS
Bardon Mill,1284,9356,96,10736,0,North East,7563,BLL
Bare Lane,13120,42826,53698,109644,0,North West,2690,BAR
Bargeddie,31246,49892,7692,88830,0,Scotland,9764,BGI
Bargoed,127312,8040,32732,168084,0,Wales,4011,BGD
Barking,3959558,6634530,2642164,13236252,1121910,London,7492,BKG
Barking Riverside,349022,451546,144242,944810,0,London,1335,BGV
Barming,73626,144852,33172,251650,0,South East,5133,BMG
Barmouth,101270,49150,27356,177776,0,Wales,4445,BRM
Barnehurst,340092,398602,148904,887598,0,London,5089,BNH
Barnes,749296,913584,461542,2124422,22250,London,5551,BNS
Barnes Bridge,300508,357488,139572,797568,0,London,5580,BNI
Barnetby,6908,42096,3324,52328,4343,Yorkshire and The Humber,6406,BTB
Barnham,206818,361814,400732,969364,666514,South East,5252,BAA
Barnhill,27502,37296,7568,72366,0,Scotland,9973,BNL
Barnsley,387132,836106,174302,1397540,26961,Yorkshire and The Humber,6774,BNY
Barnstaple,89772,325346,134742,549860,0,South West,5725,BNP
Barnt Green,107962,82166,107522,297650,59781,West Midlands,1096,BTG
Barrhead,175486,247902,68630,492018,0,Scotland,9674,BRR
Barrhill,1568,2306,0,3874,0,Scotland,9467,BRL
Barrow Haven,514,706,16,1236,0,Yorkshire and The Humber,6212,BAV
Barrow-In-Furness,102668,413204,43386,559258,25078,North West,1954,BIF
Barrow-Upon-Soar,41278,31716,17832,90826,0,East Midlands,1903,BWS
Barry,389994,36470,102232,528696,2855,Wales,3805,BRY
Barry Docks,185202,12518,50464,248184,0,Wales,3806,BYD
Barry Island,272740,28014,81464,382218,0,Wales,3807,BYI
Barry Links,572,94,0,666,0,Scotland,9020,BYL
Barton-On-Humber,10644,17898,1306,29848,0,Yorkshire and The Humber,6207,BAU
Basildon,1009696,846518,574960,2431174,0,East of England,7494,BSO
Basingstoke,1111040,2480938,647800,4239778,724235,South East,5520,BSK
Bat and Ball,65328,68110,72288,205726,0,South East,5090,BBL
Bath Spa,1055594,4794204,268338,6118136,194085,South West,3271,BTH
Bathgate,389502,451780,56958,898240,0,Scotland,9311,BHG
Batley,117348,101938,41478,260764,0,Yorkshire and The Humber,8484,BTL
Battersby,122,2146,0,2268,0,Yorkshire and The Humber,7909,BTT
Battersea Park,561650,949372,381640,1892662,4995,London,5420,BAK
Battle,91586,252862,103348,447796,0,South East,5215,BAT
Battlesbridge,8722,8432,4698,21852,0,East of England,6870,BLB
Bayford,27004,33654,4742,65400,0,East of England,6006,BAY
Beaconsfield,382100,429734,231426,1043260,0,South East,3047,BCF
Bearley,1146,620,0,1766,0,West Midlands,2420,BER
Bearsden,149936,212942,28600,391478,0,Scotland,9966,BRN
Bearsted,78042,114978,97192,290212,0,South East,5091,BSD
Beasdale,170,90,0,260,0,Scotland,8822,BSL
Beaulieu Road,1926,13308,804,16038,0,South East,5890,BEU
Beauly,30122,5154,3100,38376,0,Scotland,8877,BEL
Bebington,346786,351580,108130,806496,0,North West,2188,BEB
Beccles,31342,79900,6832,118074,0,East of England,7258,BCC
Beckenham Hill,130850,164848,56844,352542,0,London,5076,BEC
Beckenham Junction,585926,787890,258944,1632760,33077,London,5046,BKJ
Bedford,568958,2088206,590082,3247246,41248,East of England,1512,BDM
Bedford St Johns,26536,97394,27522,151452,0,East of England,1510,BSJ
Bedhampton,34654,52192,14348,101194,0,South East,5538,BDH
